Object Identifier;Block;Level;Object Text;Generic Name;Signal Description;Producer;LRU Consumer(s);Data Type;Bus Name;TTP Mess #;TTP Slot #;TTP TDMA Round;PFCC TX Round;Tx Rate (ms);Update Rate (ms);Start Bit (LSB);Sig. Bits;Signed (Y/N);Resolution;Unit;Data Min (Calculated);Data Max (Calculated);Physical Min (Sensor);Physical Max (Sensor);PRs
TTP-2;;1;IIM1;;;IIM1;;;TTP1;;1;;N/A;;;;;;;;;;;;
TTP-23;B1.0;2;IIM1_PFCC_CRC;IIM_MSGBOX_01;IIM messages CRC to PFCC;IIM1;PFCC1_COM,PFCC1_MON,PFCC2_COM,PFCC2_MON,PFCC3_COM,PFCC3_MON;DISC;TTP1;1;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;1;32;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
TTP-24;B1.0;3;IIM1_IIM_PFCC_CRC;IIM_M01_IIM_PFCC_CRC;IIM Application CRC to PFCC;IIM1;PFCC1_COM,PFCC1_MON,PFCC2_COM,PFCC2_MON,PFCC3_COM,PFCC3_MON;DISC;TTP1;1;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;1;32;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
TTP-120;B1.0;2;IIM1_REU_CRC;IIM_MSGBOX_02;IIM messages CRC to REU;IIM1;REU_AFT1_COM,REU_AFT1_MON,REU_MFS1_COM,REU_MFS1_MON,REU_MFS3_COM,REU_MFS3_MON;DISC;TTP1;2;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;1;32;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
TTP-121;B1.0;3;IIM1_IIM_REU_CRC;IIM_M02_IIM_REU_CRC;IIM Application CRC to REU;IIM1;REU_AFT1_COM,REU_AFT1_MON,REU_MFS1_COM,REU_MFS1_MON,REU_MFS3_COM,REU_MFS3_MON;DISC;TTP1;2;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;1;32;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
TTP-3;B1.0;2;IIM1_Node_Status;IIM_MSGBOX_03;IIM Source ID and Frame Counter;IIM1;PFCC1_COM,PFCC1_MON,PFCC2_COM,PFCC2_MON,PFCC3_COM,PFCC3_MON,REU_AFT1_COM,REU_AFT1_MON,REU_MFS1_COM,REU_MFS1_MON,REU_MFS3_COM,REU_MFS3_MON;DISC;TTP1;3;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;1;32;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
TTP-4;B1.0;3;IIM1_Source_ID;IIM_M03_Source_ID;Source_ID;IIM1;PFCC1_COM,PFCC1_MON,PFCC2_COM,PFCC2_MON,PFCC3_COM,PFCC3_MON,REU_AFT1_COM,REU_AFT1_MON,REU_MFS1_COM,REU_MFS1_MON,REU_MFS3_COM,REU_MFS3_MON;DISC;TTP1;3;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;1;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
TTP-5;B1.0;3;IIM1_Freshness_Counter;IIM_M03_Freshness_Counter;Freshness_Counter;IIM1;PFCC1_COM,PFCC1_MON,PFCC2_COM,PFCC2_MON,PFCC3_COM,PFCC3_MON,REU_AFT1_COM,REU_AFT1_MON,REU_MFS1_COM,REU_MFS1_MON,REU_MFS3_COM,REU_MFS3_MON;DISC;TTP1;3;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;6;8;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
TTP-6;;3;IIM1_Spare;IIM_M03_Spare_14;Spare;IIM1;PFCC1_COM,PFCC1_MON,PFCC2_COM,PFCC2_MON,PFCC3_COM,PFCC3_MON,REU_AFT1_COM,REU_AFT1_MON,REU_MFS1_COM,REU_MFS1_MON,REU_MFS3_COM,REU_MFS3_MON;DISC;TTP1;3;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;14;3;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
TTP-7;;3;IIM1_Spare;IIM_M03_Spare_17;Spare;IIM1;PFCC1_COM,PFCC1_MON,PFCC2_COM,PFCC2_MON,PFCC3_COM,PFCC3_MON,REU_AFT1_COM,REU_AFT1_MON,REU_MFS1_COM,REU_MFS1_MON,REU_MFS3_COM,REU_MFS3_MON;DISC;TTP1;3;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;17;16;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
TTP-8;B1.0;2;IIM1_SS_Roll_Position;IIM_MSGBOX_04;Pilot Side Stick Roll Position, CoPilot Side Stick Roll Position;IIM1;PFCC1_COM,PFCC1_MON,PFCC2_COM,PFCC2_MON,PFCC3_COM,PFCC3_MON,REU_AFT1_COM,REU_AFT1_MON,REU_MFS1_COM,REU_MFS1_MON,REU_MFS3_COM,REU_MFS3_MON;BNR;TTP1;4;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;1;32;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
TTP-10;B1.0;3;IIM1_SS_Roll_Pos_Pilot_Valid;IIM_M04_SS_Roll_Pos_Pilot_Valid;1 = Pilot Sidestick Roll Command Sensor Position is Valid;IIM1;PFCC1_COM,PFCC1_MON,PFCC2_COM,PFCC2_MON,PFCC3_COM,PFCC3_MON,REU_AFT1_COM,REU_AFT1_MON,REU_MFS1_COM,REU_MFS1_MON,REU_MFS3_COM,REU_MFS3_MON;DISC;TTP1;4;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;1;1;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
TTP-9;;3;IIM1_Reserved;IIM_M04_Reserved_BNR_2;Reserved for BNR;IIM1;PFCC1_COM,PFCC1_MON,PFCC2_COM,PFCC2_MON,PFCC3_COM,PFCC3_MON,REU_AFT1_COM,REU_AFT1_MON,REU_MFS1_COM,REU_MFS1_MON,REU_MFS3_COM,REU_MFS3_MON;DISC;TTP1;4;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;2;2;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
TTP-12;B1.0;3;IIM1_SS_Roll_Pos_Pilot;IIM_M04_SS_Roll_Pos_Pilot;Pilot Sidestick Roll Command Sensor Position;IIM1;PFCC1_COM,PFCC1_MON,PFCC2_COM,PFCC2_MON,PFCC3_COM,PFCC3_MON,REU_AFT1_COM,REU_AFT1_MON,REU_MFS1_COM,REU_MFS1_MON,REU_MFS3_COM,REU_MFS3_MON;BNR;TTP1;4;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;4;13;Y;0,0048828;DEGREES;-19.9999488;19,995066;-18.87693;18,87693;
TTP-11;B1.0;3;IIM1_SS_Roll_Pos_CoPilot_Valid;IIM_M04_SS_Roll_Pos_CoPilot_Valid;1 = CoPilot Sidestick Roll Command Sensor Position is Valid;IIM1;PFCC1_COM,PFCC1_MON,PFCC2_COM,PFCC2_MON,PFCC3_COM,PFCC3_MON,REU_AFT1_COM,REU_AFT1_MON,REU_MFS1_COM,REU_MFS1_MON,REU_MFS3_COM,REU_MFS3_MON;DISC;TTP1;4;1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;N/A;2;2;17;1;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
